농약제품목록,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
등록번호,구분,작물명,병해충명,품목명,일반명,유효성분 함유량,상표명,인축독성,어독성,용도,등록일,작용기작,희석배수,사용량,사용적기,사용방법,안전사용기준(시기),안전사용기준(횟수),제형,법인명(상호명)
3-살균-95,제조,고추(단고추류포함),탄저병,카벤다짐.가스가마이신 수화제,Carbendazim+Kasugamycin,43.45(40+3.45)%,고추탄,Ⅳ급(저독성),Ⅲ급,살균,1990-05-31,나1+라3,1000배,-,발병초부터 10일,경엽처리,수확5일전,3회,수화제,(주)동방아그로
46-살균-541,제조,고추(단고추류포함),탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,골고루,Ⅳ급(저독성),Ⅰ급,살균,1984-02-23,카,600배,-,발병초부터 10일간격,경엽처리,수확7일전,4회,수화제,(주)팜한농
63-살균-42,제조,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,골드마스터,Ⅳ급(저독성),Ⅰ급,살균,2021-03-29,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,(주)케이씨생명과학
63-살균-42,제조,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,골드마스터,Ⅳ급(저독성),Ⅰ급,살균,2021-03-29,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,(주)케이씨생명과학
3-살균-228,제조,고추(단고추류포함),탄저병,가스가마이신.티오파네이트메틸 액상수화제,Kasugamycin+Thiophanate-methyl,39.35(4.35+35)%,골든벨,Ⅳ급(저독성),Ⅲ급,살균,2006-03-29,라3+나1,1000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)동방아그로
73-살균-12,제조,고추,탄저병,티오파네이트메틸 수화제,Thiophanate-methyl,70%,과채탄,Ⅳ급(저독성),Ⅱ급,살균,1988-01-08,나1,1500배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,수화제,유원에코사이언스(주)
62-살균-18,제조,고추(단고추류포함),탄저병,테부코나졸 입상수화제,Tebuconazole,25%,구급탄,Ⅳ급(저독성),Ⅲ급,살균,2019-02-19,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,입상수화제,지넥스(주)
3-살균-259,제조,고추(단고추류포함),탄저병,티오파네이트메틸.트리플루미졸 수화제,Thiophanate-methyl+Triflumizole,60(45+15)%,굳타임,Ⅳ급(저독성),Ⅱ급,살균,2004-01-16,나1+사1,1000배,-,발병초부터 10일간격,경엽처리,수확3일전,5회,수화제,(주)동방아그로
52-살균-143,제조,고추(단고추류포함),탄저병,아족시스트로빈.테부코나졸 입상수화제,Azoxystrobin+Tebuconazole,75(25+50)%,굿초이스,Ⅳ급(저독성),Ⅱ급,살균,2017-08-25,다3+사1,5000배,-,발병초 10일간격,경엽처리,수확3일전,3회,입상수화제,(주)한얼싸이언스
46-살균-504,제조,고추(단고추류포함),탄저병,플루실라졸.크레속심메틸 액상수화제,Flusilazole+Kresoxim-methyl,11.5(1.5+10)%,귀품,Ⅳ급(저독성),Ⅱ급,살균,2007-03-29,사1+다3,1000배,-,발병초 10일간격,경엽처리,수확5일전,3회,액상수화제,(주)팜한농
70-살균-38,제조,고추,탄저병,디티아논.피라클로스트로빈 유현탁제,Dithianon+Pyraclostrobin,32(24+8)%,규네왕,Ⅲ급(보통독성),Ⅰ급,살균,2024-04-01,카+다3,2000배,-,발생초기,경엽처리,수확2일전,3회,유현탁제,팜아그로텍(주)
70-살균-38,제조,단고추류,탄저병,디티아논.피라클로스트로빈 유현탁제,Dithianon+Pyraclostrobin,32(24+8)%,규네왕,Ⅲ급(보통독성),Ⅰ급,살균,2024-04-01,카+다3,2000배,-,발생초기,경엽처리,수확2일전,3회,유현탁제,팜아그로텍(주)
51-살균-67,제조,고추(단고추류포함),탄저병,아족시스트로빈.테트라코나졸 유현탁제,Azoxystrobin+Tetraconazole,28(18+10)%,규네조아,Ⅳ급(저독성),Ⅱ급,살균,2016-01-26,다3+사1,2000배,-,발병초 10일간격,경엽처리,수확7일전,2회,유현탁제,아그리젠토(주)
93-살균-7,제조,고추,탄저병,테부코나졸 유제,Tebuconazole,25%,균가이버,Ⅳ급(저독성),Ⅲ급,살균,2023-10-30,사1,2000배,-,발생초기,경엽처리,수확2일전,2회,유제,(주)성심바이오메딕
93-살균-7,제조,단고추류,탄저병,테부코나졸 유제,Tebuconazole,25%,균가이버,Ⅳ급(저독성),Ⅲ급,살균,2023-10-30,사1,2000배,-,발생초기,경엽처리,수확2일전,2회,유제,(주)성심바이오메딕
94-살균-6,수입,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,균가이버골드,Ⅳ급(저독성),Ⅱ급,살균,2012-12-06,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,미래아그로
48-살균-17,제조,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,균가이버골드,Ⅳ급(저독성),Ⅱ급,살균,2013-08-02,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,(주)태준아그로텍
62-살균-6,제조,고추(단고추류포함),탄저병,티오파네이트메틸 수화제,Thiophanate-methyl,70%,균다이,Ⅳ급(저독성),Ⅱ급,살균,2016-03-31,나1,1500배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,수화제,지넥스(주)
153-살균-9,수입,고추,탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,균대왕,Ⅳ급(저독성),Ⅰ급,살균,2023-07-19,카,700배,-,발생초기,경엽처리,수확7일전,4회,수화제,레인보우애그로사이언스(주)
153-살균-9,수입,단고추류,탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,균대왕,Ⅳ급(저독성),Ⅰ급,살균,2023-07-19,카,700배,-,발생초기,경엽처리,수확7일전,4회,수화제,레인보우애그로사이언스(주)
129-살균-6,수입,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균디스,Ⅳ급(저독성),Ⅱ급,살균,2016-11-16,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)다보인터내셔널
14-살균-283,제조,고추(단고추류포함),탄저병,헥사코나졸.프로클로라즈 유제,Hexaconazole+Prochloraz,26(1+25)%,균마기,Ⅳ급(저독성),Ⅱ급,살균,2008-03-31,사1+사1,1000배,-,발병초 10일간격,경엽처리,수확5일전,3회,유제,한국삼공(주)
14-살균-320,제조,고추,탄저병,프로클로라즈코퍼클로라이드.테부코나졸 액상수화제,Prochloraz-copper chloride+Tebuconazole,25(12.5+12.5)%,균마기골드,Ⅳ급(저독성),Ⅱ급,살균,2011-03-29,사1+사1,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,한국삼공(주)
62-살균-7,제조,고추(단고추류포함),탄저병,디페노코나졸.티오파네이트메틸 수화제,Difenoconazole+Thiophanate-methyl,40(5+35)%,균마름,Ⅳ급(저독성),Ⅲ급,살균,2017-02-13,사1+나1,2000배,-,발병초 10일간격,경엽처리,수확5일전,3회,수화제,지넥스(주)
78-살균-51,수입,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균메카,Ⅳ급(저독성),Ⅱ급,살균,2025-01-22,다3,2000배,-,발병 초부터,경엽처리,수확3일전,5회,액상수화제,(주)신농팜케미컬
76-살균-39,제조,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균메카,Ⅳ급(저독성),Ⅱ급,살균,2020-12-29,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)신농팜케미컬
63-살균-50,제조,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균메카,Ⅳ급(저독성),Ⅱ급,살균,2021-07-27,다3,2000배,-,발생초기,경엽처리,수확3일전,5회,액상수화제,(주)케이씨생명과학
78-살균-51,수입,단고추류,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균메카,Ⅳ급(저독성),Ⅱ급,살균,2025-01-22,다3,2000배,-,발병 초부터,경엽처리,수확3일전,5회,액상수화제,(주)신농팜케미컬
76-살균-39,제조,단고추류,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균메카,Ⅳ급(저독성),Ⅱ급,살균,2020-12-29,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)신농팜케미컬
73-살균-34,제조,고추,탄저병,테부코나졸 수화제,Tebuconazole,25%,균무탄,Ⅳ급(저독성),Ⅲ급,살균,2023-03-03,사1,2000배,-,발생초기,경엽처리,수확3일전,3회,수화제,유원에코사이언스(주)
73-살균-34,제조,단고추류,탄저병,테부코나졸 수화제,Tebuconazole,25%,균무탄,Ⅳ급(저독성),Ⅲ급,살균,2023-03-03,사1,2000배,-,발생초기,경엽처리,수확3일전,3회,수화제,유원에코사이언스(주)
78-살균-10,수입,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,균박사,Ⅳ급(저독성),Ⅱ급,살균,2012-12-06,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,(주)신농팜케미컬
62-살균-13,제조,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균상천하,Ⅳ급(저독성),Ⅱ급,살균,2019-02-19,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,지넥스(주)
19-살균-129,제조,고추(단고추류포함),탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,균스타일,Ⅳ급(저독성),Ⅰ급,살균,2014-01-27,카,1000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,인바이오(주)
21-살균-54,제조,고추,탄저병,피라클로스트로빈 유제,Pyraclostrobin,22.9%,균쓰리,Ⅳ급(저독성),Ⅰ급,살균,2024-04-26,다3,4000배,-,발생초기,경엽처리,수확2일전,3회,유제,(주)유일
21-살균-54,제조,고추(잎),탄저병,피라클로스트로빈 유제,Pyraclostrobin,22.9%,균쓰리,Ⅳ급(저독성),Ⅰ급,살균,2024-04-26,다3,4000배,-,발생초기,경엽처리,수확7일전,1회,유제,(주)유일
21-살균-54,제조,단고추류,탄저병,피라클로스트로빈 유제,Pyraclostrobin,22.9%,균쓰리,Ⅳ급(저독성),Ⅰ급,살균,2024-04-26,다3,4000배,-,발생초기,경엽처리,수확2일전,3회,유제,(주)유일
26-살균-44,제조,고추(단고추류포함),탄저병,테부코나졸 수화제,Tebuconazole,25%,균어택,Ⅳ급(저독성),Ⅲ급,살균,2013-08-26,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,수화제,(주)대유
148-살균-1,수입,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균업세,Ⅳ급(저독성),Ⅱ급,살균,2021-07-27,다3,2000배,-,발생초기,경엽처리,수확3일전,5회,액상수화제,팜앤피플
19-살균-177,제조,고추(단고추류포함),탄저병,플루아지남.트리플록시스트로빈 수화제,Fluazinam+Trifloxystrobin,60(40+20)%,균에센,Ⅳ급(저독성),Ⅰ급,살균,2017-12-29,다5+다3,2000배,-,발병직전 10일간격,경엽처리,수확3일전,3회,수화제,인바이오(주)
39-살균-63,제조,고추(단고추류포함),탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,균엑스,Ⅳ급(저독성),Ⅰ급,살균,2021-06-25,카,1000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)천지인바이오텍
63-살균-53,제조,고추(단고추류포함),탄저병,카벤다짐.트리플록시스트로빈 입상수화제,Carbendazim+Trifloxystrobin,56(6+50)%,균탄,Ⅳ급(저독성),Ⅰ급,살균,2021-09-09,나1+다3,4000배,-,발생초기,경엽처리,수확3일전,3회,입상수화제,(주)케이씨생명과학
85-살균-52,수입,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,균파워,Ⅳ급(저독성),Ⅱ급,살균,2017-12-07,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)케이씨생명과학
76-살균-61,제조,고추,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,균펀치,Ⅳ급(저독성),Ⅰ급,살균,2024-02-16,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)신농팜케미컬
85-살균-73,수입,고추,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,균펀치,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)케이씨생명과학
76-살균-61,제조,단고추류,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,균펀치,Ⅳ급(저독성),Ⅰ급,살균,2024-02-16,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)신농팜케미컬
85-살균-73,수입,단고추류,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,균펀치,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)케이씨생명과학
63-살균-32,제조,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,균포수,Ⅳ급(저독성),Ⅱ급,살균,2020-09-17,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,(주)케이씨생명과학
6-살균-235,제조,고추(단고추류포함),탄저병,디페노코나졸.디티아논 입상수화제,Difenoconazole+Dithianon,34(4+30)%,그랑프리,Ⅳ급(저독성),Ⅰ급,살균,2013-06-21,사1+카,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,입상수화제,에스비성보주식회사
150-살균-2,수입,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,그리폰,Ⅳ급(저독성),Ⅱ급,살균,2021-06-09,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)그린시티
150-살균-2,수입,단고추류,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,그리폰,Ⅳ급(저독성),Ⅱ급,살균,2021-06-09,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)그린시티
39-살균-48,제조,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,그린비,Ⅳ급(저독성),Ⅱ급,살균,2020-12-23,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)천지인바이오텍
93-살균-8,제조,고추,탄저병,아족시스트로빈.디메토모르프 입상수화제,Azoxystrobin+Dimethomorph,23(8+15)%,글린빌,Ⅳ급(저독성),Ⅱ급,살균,2023-11-16,다3+아5,1000배,-,발생초기,경엽처리,수확7일전,2회,입상수화제,(주)성심바이오메딕
93-살균-8,제조,단고추류,탄저병,아족시스트로빈.디메토모르프 입상수화제,Azoxystrobin+Dimethomorph,23(8+15)%,글린빌,Ⅳ급(저독성),Ⅱ급,살균,2023-11-16,다3+아5,1000배,-,발생초기,경엽처리,수확7일전,2회,입상수화제,(주)성심바이오메딕
76-살균-33,제조,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,금탄,Ⅳ급(저독성),Ⅰ급,살균,2020-06-09,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,(주)신농팜케미컬
78-살균-21,수입,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,금탄,Ⅳ급(저독성),Ⅰ급,살균,2017-12-07,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,(주)신농팜케미컬
78-살균-21,수입,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,금탄,Ⅳ급(저독성),Ⅰ급,살균,2017-12-07,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,(주)신농팜케미컬
76-살균-33,제조,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,금탄,Ⅳ급(저독성),Ⅰ급,살균,2020-06-09,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,(주)신농팜케미컬
71-살균-2,제조,고추(단고추류포함),탄저병,디페노코나졸.티오파네이트메틸 수화제,Difenoconazole+Thiophanate-methyl,40(5+35)%,기트칸,Ⅳ급(저독성),Ⅲ급,살균,2018-03-19,사1+나1,2000배,-,발병초 10일간격,경엽처리,수확5일전,3회,수화제,(주)새한농
46-살균-387,제조,고추(단고추류포함),탄저병,캡탄.테부코나졸 정제상수화제,Captan+Tebuconazole,35(30+5)%,나이코,Ⅳ급(저독성),Ⅱ급,살균,2013-06-21,카+사1,500배,-,발병초 10일간격,경엽처리,수확3일전,2회,정제상수화제,(주)팜한농
4-살균-335,제조,고추(단고추류포함),탄저병,테부코나졸.트리플록시스트로빈 액상수화제,Tebuconazole+Trifloxystrobin,30(20+10)%,나티보,Ⅳ급(저독성),Ⅰ급,살균,2006-03-29,사1+다3,2000배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,액상수화제,바이엘크롭사이언스(주)
19-살균-158,제조,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,나폴레옹,Ⅳ급(저독성),Ⅰ급,살균,2016-08-02,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,인바이오(주)
19-살균-158,제조,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,나폴레옹,Ⅳ급(저독성),Ⅰ급,살균,2016-08-02,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,인바이오(주)
8-살균-141,제조,고추(단고추류포함),탄저병,코퍼설페이트베이식 수화제,Copper sulfate,58%,네오보르도,Ⅳ급(저독성),Ⅲ급,살균,1996-03-27,카,1000배,-,발병초기부터 10일간격,경엽처리,발생초기,-,수화제,(주)농협케미컬
74-살균-1,제조,고추(단고추류포함),탄저병,디티아논 액상수화제,Dithianon,43%,네오쎈,Ⅲ급(보통독성),Ⅰ급,살균,2018-02-28,카,1000배,-,발병초부터 10일간격,경엽처리,수확7일전,5회,액상수화제,아진케미칼(주)
45-살균-71,제조,고추(단고추류포함),탄저병,아족시스트로빈.테부코나졸 액상수화제,Azoxystrobin+Tebuconazole,29.5(11+18.5)%,눔너스고추탄저,Ⅲ급(보통독성),Ⅱ급,살균,2013-04-15,다3+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,선문그린사이언스(주)
14-살균-154,제조,고추(단고추류포함),탄저병,카벤다짐.헥사코나졸 수화제,Carbendazim+Hexaconazole,51(50+1)%,뉴상승이,Ⅳ급(저독성),Ⅱ급,살균,1997-01-28,나1+사1,1000배,-,발병초기 10일간격,경엽처리,수확2일전,3회,수화제,한국삼공(주)
1-살균-457,제조,고추(단고추류포함),탄저병,디티아논.플룩사피록사드 액상수화제,Dithianon+Fluxapyroxad,28(25+3)%,뉴페이스,Ⅲ급(보통독성),Ⅰ급,살균,2014-11-04,카+다2,1000배,-,발병초 10일간격,경엽처리,수확2일전,2회,액상수화제,(주)경농
1-살균-504,제조,고추(단고추류포함),탄저병,디페노코나졸.피라클로스트로빈 액상수화제,Difenoconazole+Pyraclostrobin,12(4+8)%,다놀라,Ⅳ급(저독성),Ⅰ급,살균,2016-11-07,사1+다3,2000배,-,발병초 10일간격,경엽처리,수확5일전,3회,액상수화제,(주)경농
39-살균-77,제조,고추,탄저병,사이아조파미드.트리플록시스트로빈 액상수화제,Cyazofamid+Trifloxystrobin,22(7.4+14.6)%,다보S클래스,Ⅳ급(저독성),Ⅰ급,살균,2022-09-15,다4+다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)천지인바이오텍
39-살균-77,제조,단고추류,탄저병,사이아조파미드.트리플록시스트로빈 액상수화제,Cyazofamid+Trifloxystrobin,22(7.4+14.6)%,다보S클래스,Ⅳ급(저독성),Ⅰ급,살균,2022-09-15,다4+다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)천지인바이오텍
39-살균-46,제조,고추(단고추류포함),탄저병,테부코나졸 입상수화제,Tebuconazole,25%,다빈치,Ⅳ급(저독성),Ⅲ급,살균,2019-11-06,사1,2000배,-,발병초기 10일간격,경엽처리,수확3일전,3회,입상수화제,(주)천지인바이오텍
70-살균-2,제조,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,다승왕,Ⅳ급(저독성),Ⅱ급,살균,2017-04-21,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,팜아그로텍(주)
1-살균-14,제조,고추,탄저병,만코제브 수화제,Mancozeb,75%,다이센엠-45,Ⅳ급(저독성),Ⅱ급,살균,1981-03-02,카,500배,-,발생초기 10일간격,경엽처리,수확3일전,3회,수화제,(주)경농
1-살균-14,제조,단고추류,탄저병,만코제브 수화제,Mancozeb,75%,다이센엠-45,Ⅳ급(저독성),Ⅱ급,살균,1981-03-02,카,500배,-,발생초기 10일간격,경엽처리,수확3일전,3회,수화제,(주)경농
46-살균-14,제조,고추,탄저병,만코제브 수화제,Mancozeb,75%,다이센엠45,Ⅳ급(저독성),Ⅱ급,살균,1981-03-02,카,500배,-,발생초기 10일간격,경엽처리,수확3일전,3회,수화제,(주)팜한농
46-살균-14,제조,단고추류,탄저병,만코제브 수화제,Mancozeb,75%,다이센엠45,Ⅳ급(저독성),Ⅱ급,살균,1981-03-02,카,500배,-,발생초기 10일간격,경엽처리,수확3일전,3회,수화제,(주)팜한농
26-살균-66,제조,고추,탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,다치로,Ⅳ급(저독성),Ⅰ급,살균,2024-04-01,다3,3000배,-,발생초기,경엽처리,수확5일전,3회,입상수화제,(주)대유
26-살균-66,제조,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,다치로,Ⅳ급(저독성),Ⅰ급,살균,2024-04-01,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,(주)대유
26-살균-66,제조,단고추류,탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,다치로,Ⅳ급(저독성),Ⅰ급,살균,2024-04-01,다3,3000배,-,발생초기,경엽처리,수확5일전,3회,입상수화제,(주)대유
1-살균-13,제조,고추(단고추류포함),탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,다코닐,Ⅳ급(저독성),Ⅰ급,살균,1981-03-02,카,600배,-,발병초부터 10일간격,경엽처리,수확7일전,4회,수화제,(주)경농
1-살균-271,제조,고추(단고추류포함),탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,다코닐에이스,Ⅳ급(저독성),Ⅰ급,살균,2000-03-13,카,1000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)경농
1-살균-53,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,다코스,Ⅳ급(저독성),Ⅱ급,살균,1981-10-27,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)경농
8-살균-235,제조,고추(단고추류포함),탄저병,클로로탈로닐.디페노코나졸 액상수화제,Chlorothalonil+Difenoconazole,24(20+4)%,단단,Ⅳ급(저독성),Ⅰ급,살균,2005-03-29,카+사1,1000배,-,발병초 10일간격,경엽처리,수확2일전,4회,액상수화제,(주)농협케미컬
26-살균-50,제조,고추,탄저병,테부코나졸 유제,Tebuconazole,25%,대유균박멸,Ⅳ급(저독성),Ⅲ급,살균,2017-01-06,사1,2000배,-,발생초기,경엽처리,수확2일전,2회,유제,(주)대유
26-살균-50,제조,단고추류,탄저병,테부코나졸 유제,Tebuconazole,25%,대유균박멸,Ⅳ급(저독성),Ⅲ급,살균,2017-01-06,사1,2000배,-,발생초기,경엽처리,수확2일전,2회,유제,(주)대유
26-살균-59,제조,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,대유아족시,Ⅳ급(저독성),Ⅱ급,살균,2020-05-12,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,(주)대유
19-균충-148,제조,고추(단고추류포함),탄저병,테부코나졸.비펜트린 입제,Tebuconazole+Bifenthrin,2.3(2+0.3)%,더블센서,Ⅳ급(저독성),Ⅱ급,균충,2015-07-23,사1+3a,-,3㎏/10a,정식전,두둑처리,정식기,1회,입제,인바이오(주)
21-살균-43,제조,고추(단고추류 포함),탄저병,헥사코나졸.테부코나졸 유제,Hexaconazole+Tebuconazole,26.5(1.5+25)%,더블코나졸,Ⅲ급(보통독성),Ⅲ급,살균,2014-11-04,사1+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,유제,(주)유일
